CustomerId,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
15634602,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no
15647311,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
15619304,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no
15701354,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no
15737888,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no
15574012,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no
15592531,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
15656148,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
15792365,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no
15592389,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no
15767821,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no
15737173,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no
15632264,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no
15691483,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no
15600882,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no
15643966,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no
15737452,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no
15788218,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
15661507,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
15568982,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
15577657,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no
15597945,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
15699309,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
15725737,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no
15625047,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
15738191,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
15736816,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no
15700772,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
15728693,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no
15656300,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no
15589475,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
15706552,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no
15750181,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no
15659428,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
15732963,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no
15794171,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no
15788448,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no
15729599,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no
15717426,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no
15585768,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
15619360,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
15738148,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no
15687946,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
15755196,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no
15684171,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no
15754849,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no
15602280,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
15771573,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no
15766205,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no
15771873,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no
15616550,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no
15768193,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no
15683553,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no
15702298,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
15569590,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no
15760861,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no
15630053,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no
15647091,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no
15623944,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
15804771,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no
15651280,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
15773469,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no
15702014,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no
15751208,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no
15592461,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no
15789484,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no
15696061,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no
15641582,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no
15638424,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no
15755648,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no
15703793,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no
15620344,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no
15812518,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no
15779052,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no
15770811,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no
15780961,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no
15614049,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no
15662085,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no
15575185,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
15803136,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no
15706021,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no
15663706,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no
15641732,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no
15701164,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
15738751,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no
15805254,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no
15762418,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes
15625759,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes
15622897,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
15767954,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no
15757535,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
15731511,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no
15809248,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no
15640635,60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no
15676966,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no
15699461,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no
15738721,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
15693683,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no
15604348,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no
15633059,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no
15808582,44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no
15743192,53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,no
15580146,52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no
15776605,59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no
15804919,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
15613854,44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no
15599195,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no
15812878,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
15602312,59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no
15744689,45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no
15803526,29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no
15665790,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no
15715951,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no
15591100,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no
15609618,59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no
15675522,44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no
15705512,41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no
15698028,33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no
15661670,59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no
15600781,57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,no
15682472,56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no
15580203,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no
15690673,34,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no
15760085,43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
15779659,52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no
15627360,33,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no
15671137,29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,no
15782688,34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no
15575492,31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no
15591607,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
15740404,55,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no
15718369,32,admin.,single,secondary,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no
15677871,38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no
15642004,55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,no
15712543,28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no
15584518,23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no
15802381,32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no
15610156,43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no
15594408,32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no
15640905,46,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no
15698932,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no
15724944,34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no
15628145,57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,no
15713483,37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no
15612350,59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no
15800703,33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,no
15705707,56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,no
15754105,48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,no
15703264,43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no
15794413,54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no
15650237,51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no
15759618,26,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no
15811589,40,management,married,tertiary,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,no
15689044,39,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no
15709368,50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,no
15679145,41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no
15655007,51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no
15623595,60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no
15589975,52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no
15804017,48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,no
15692132,48,services,married,unknown,no,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,no
15641122,39,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,-1,0,unknown,no
15630910,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no
15680772,40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no
15658929,45,technician,married,secondary,no,86,yes,no,unknown,5,may,270,1,-1,0,unknown,no
15585388,26,admin.,single,secondary,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,no
15724623,52,management,married,tertiary,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no
15588537,54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no
15574692,54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes
